23,64,105,107,"TEXT"
107,50,197,98,"TEXT"
74,132,159,166,"TEXT"
172,123,284,167,"TEXT"
298,122,402,163,"TEXT"
417,117,499,158,"TEXT"
27,170,108,208,"TEXT"
120,170,156,200,"TEXT"
85,211,134,234,"TEXT"
143,205,181,235,"TEXT"
195,196,289,236,"TEXT"
307,193,400,236,"TEXT"
412,202,506,238,"TEXT"
63,237,94,270,"TEXT"
106,238,178,270,"TEXT"
190,242,277,269,"TEXT"
68,280,159,313,"TEXT"
168,271,249,313,"TEXT"
268,269,305,304,"TEXT"
320,266,393,310,"TEXT"
408,265,511,306,"TEXT"
33,318,112,352,"TEXT"
132,307,268,349,"TEXT"
255,376,344,413,"TEXT"
357,371,433,413,"TEXT"
270,416,340,460,"TEXT"
353,413,418,456,"TEXT"
