906,340,1055,457,"TEXT"
1130,368,1474,481,"TEXT"
1530,398,1938,504,"TEXT"
1960,400,2287,506,"TEXT"
1164,485,1549,598,"TEXT"
1604,506,1928,611,"TEXT"
1409,596,1789,694,"TEXT"
1879,751,2098,857,"TEXT"
2119,769,2358,866,"TEXT"
2364,723,2519,847,"TEXT"
2538,777,2634,847,"TEXT"
1068,836,1377,983,"TEXT"
1434,896,2021,1009,"TEXT"
2040,926,2302,1034,"TEXT"
287,991,470,1087,"TEXT"
502,955,665,1074,"TEXT"
683,1006,915,1104,"TEXT"
938,1004,1062,1098,"TEXT"
1100,1025,1509,1132,"TEXT"
1538,1051,1704,1149,"TEXT"
1736,1043,2191,1166,"TEXT"
2213,1077,2438,1164,"TEXT"
2453,1085,2555,1170,"TEXT"
2568,1072,2706,1153,"TEXT"
253,1098,651,1206,"TEXT"
691,1100,1232,1240,"TEXT"
1255,1145,1485,1253,"TEXT"
1519,1172,1600,1266,"TEXT"
1653,1157,1798,1272,"TEXT"
1828,1162,2109,1279,"TEXT"
2130,1202,2351,1289,"TEXT"
2353,1155,2747,1281,"TEXT"
247,1198,645,1304,"TEXT"
685,1206,870,1306,"TEXT"
902,1226,1323,1340,"TEXT"
1364,1262,1547,1383,"TEXT"
1577,1253,1753,1383,"TEXT"
1794,1279,2243,1391,"TEXT"
2260,1313,2615,1387,"TEXT"
254,1308,535,1433,"TEXT"
547,1345,985,1472,"TEXT"
1034,1355,1402,1491,"TEXT"
1451,1398,1794,1526,"TEXT"
247,1611,634,1745,"TEXT"
209,1770,447,1896,"TEXT"
536,1800,794,1911,"TEXT"
832,1770,1121,1921,"TEXT"
1170,1843,1238,1932,"TEXT"
1249,1811,1598,1947,"TEXT"
1623,1866,1721,1964,"TEXT"
1740,1840,2100,1983,"TEXT"
173,1904,462,2047,"TEXT"
472,1934,653,2036,"TEXT"
677,1926,1013,2049,"TEXT"
1066,1928,1283,2060,"TEXT"
1357,2000,1579,2111,"TEXT"
1583,1983,1749,2119,"TEXT"
1781,2043,1926,2143,"TEXT"
1945,1994,2345,2151,"TEXT"
153,2115,617,2255,"TEXT"
645,2115,960,2249,"TEXT"
160,2289,672,2436,"TEXT"
743,2272,1213,2419,"TEXT"
1340,2304,1581,2406,"TEXT"
1613,2304,1926,2434,"TEXT"
145,2432,374,2589,"TEXT"
532,2487,1247,2623,"TEXT"
2045,3299,2667,3426,"TEXT"
