86,265,188,303,"TEXT"
309,259,382,294,"TEXT"
424,250,470,285,"TEXT"
84,320,143,353,"TEXT"
329,308,404,349,"TEXT"
700,258,754,299,"TEXT"
68,356,272,396,"TEXT"
85,402,219,433,"TEXT"
67,433,211,476,"TEXT"
71,478,160,531,"TEXT"
315,466,411,515,"TEXT"
693,478,729,511,"TEXT"
62,540,184,575,"TEXT"
306,532,439,563,"TEXT"
698,530,734,565,"TEXT"
61,580,134,620,"TEXT"
309,577,459,614,"TEXT"
60,625,170,663,"TEXT"
315,615,518,663,"TEXT"
702,584,746,620,"TEXT"
716,627,768,666,"TEXT"
717,680,776,719,"TEXT"
312,661,469,712,"TEXT"
70,665,164,716,"TEXT"
59,747,265,803,"TEXT"
298,743,510,800,"TEXT"
530,759,614,795,"TEXT"
635,746,795,795,"TEXT"
810,753,922,783,"TEXT"
51,815,203,853,"TEXT"
243,802,427,851,"TEXT"
457,802,524,849,"TEXT"
560,798,630,844,"TEXT"
655,811,721,845,"TEXT"
736,784,932,846,"TEXT"
54,865,181,911,"TEXT"
210,865,347,901,"TEXT"
361,851,416,901,"TEXT"
473,848,536,894,"TEXT"
568,852,652,890,"TEXT"
680,858,809,889,"TEXT"
51,908,272,948,"TEXT"
300,913,352,953,"TEXT"
383,910,512,947,"TEXT"
539,912,679,947,"TEXT"
706,894,836,940,"TEXT"
61,953,239,1005,"TEXT"
257,962,411,995,"TEXT"
438,947,490,993,"TEXT"
549,961,730,989,"TEXT"
753,942,838,990,"TEXT"
56,1012,180,1047,"TEXT"
209,1010,307,1043,"TEXT"
327,996,493,1044,"TEXT"
543,1003,701,1048,"TEXT"
719,989,835,1043,"TEXT"
49,1045,180,1090,"TEXT"
197,1056,448,1095,"TEXT"
483,1047,588,1092,"TEXT"
622,1043,755,1094,"TEXT"
49,1090,153,1143,"TEXT"
193,1108,261,1137,"TEXT"
290,1096,380,1142,"TEXT"
407,1110,457,1143,"TEXT"
482,1109,611,1146,"TEXT"
644,1096,699,1137,"TEXT"
714,1088,822,1146,"TEXT"
39,1144,119,1194,"TEXT"
139,1140,220,1193,"TEXT"
250,1146,354,1190,"TEXT"
378,1139,437,1187,"TEXT"
476,1147,619,1193,"TEXT"
645,1142,790,1198,"TEXT"
45,1206,169,1248,"TEXT"
200,1205,378,1247,"TEXT"
401,1206,487,1246,"TEXT"
511,1210,573,1239,"TEXT"
602,1192,801,1259,"TEXT"
35,1245,201,1300,"TEXT"
226,1256,379,1304,"TEXT"
400,1240,572,1304,"TEXT"
590,1258,785,1302,"TEXT"
33,1300,135,1352,"TEXT"
148,1310,303,1356,"TEXT"
320,1305,615,1350,"TEXT"
634,1304,853,1354,"TEXT"
30,1362,167,1409,"TEXT"
227,1354,384,1405,"TEXT"
397,1362,503,1402,"TEXT"
522,1346,758,1413,"TEXT"
855,933,945,987,"TEXT"
855,988,945,1042,"TEXT"
785,1040,881,1087,"TEXT"
828,1103,945,1145,"TEXT"
813,1192,908,1242,"TEXT"
807,1247,945,1302,"TEXT"
770,1347,945,1406,"TEXT"
