1072,2903,1386,3042
1611,2876,1900,3049
203,1774,577,1916
616,2745,902,2901
836,1946,1234,2091
220,1483,589,1624
1300,1213,1653,1365
2016,1212,2440,1357
617,1201,1025,1352
204,1185,573,1334
1446,1370,1821,1515
714,1006,972,1201
1022,1031,1383,1196
1672,1217,1973,1347
630,1492,1003,1653
808,1645,1146,1795
1189,1677,1505,1814
1852,1390,2147,1518
2179,1358,2545,1523
2062,1714,2390,1858
1000,2733,1452,2885
1560,1673,1989,1831
1419,1060,1706,1208
1587,2343,1954,2516
490,1642,754,1780
196,1636,424,1769
2029,1535,2499,1678
178,2792,564,2940
1059,1509,1295,1657
1107,2338,1359,2500
1524,2723,1928,2875
238,1015,654,1184
2151,2341,2590,2497
327,2473,570,2597
1775,1811,2439,1982
1284,1963,1750,2119
1600,1506,1997,1653
1334,1529,1557,1655
888,616,1424,815
619,1793,1133,1945
