101,697,223,743
422,824,535,872
323,266,446,315
1052,887,1175,932
619,583,714,632
1040,823,1167,874
691,884,794,941
592,270,701,322
101,573,205,622
604,520,688,570
239,703,384,748
793,831,902,872
1094,525,1201,569
837,339,931,392
1139,139,1236,192
1020,266,1156,320
1233,329,1340,382
1214,517,1340,566
574,207,674,262
597,648,709,691
1123,646,1238,690
865,595,1009,634
1362,707,1479,749
229,576,336,624
355,580,499,626
241,822,403,868
1252,148,1356,195
198,884,301,932
917,823,1030,873
97,259,211,311
956,647,1106,694
362,339,479,382
1191,881,1316,930
399,705,527,753
889,152,1028,202
860,705,999,752
682,766,826,815
460,276,581,320
704,705,841,751
113,642,258,685
554,767,669,812
275,638,427,688
723,583,850,634
103,828,228,868
295,763,455,811
1169,767,1293,812
1178,706,1347,750
110,767,268,808
838,773,977,813
445,515,582,569
548,701,690,754
251,324,337,377
639,335,761,388
1378,151,1481,205
551,150,664,194
686,205,812,261
1153,205,1259,253
492,327,616,386
1367,521,1448,565
406,152,494,199
105,324,195,374
1279,826,1406,870
733,648,853,699
482,88,618,137
1188,580,1328,637
1281,214,1394,257
647,82,735,147
102,142,211,185
1025,582,1172,634
720,271,818,326
257,74,384,134
823,208,960,261
510,582,597,631
278,214,381,260
1251,651,1429,690
107,509,247,561
946,342,1029,389
902,885,1042,934
104,200,192,253
316,885,472,933
395,77,469,132
432,638,576,692
1041,144,1123,188
577,897,666,938
971,208,1056,256
970,525,1076,576
1040,340,1206,389
401,202,559,259
863,270,1004,329
990,763,1149,816
1070,200,1138,254
229,138,394,194
