1579,1035,1835,1119
1298,264,1545,352
2115,250,2411,320
1368,927,1557,1022
992,631,1245,707
1104,936,1350,1022
1852,1040,2117,1113
2283,920,2450,1019
1016,272,1249,361
866,1174,1143,1258
2466,934,2668,1020
1362,376,1591,449
2265,1032,2482,1112
1562,1497,1861,1581
1274,506,1582,587
704,1722,923,1812
1466,1637,1735,1722
556,1623,811,1696
1282,1476,1542,1575
831,961,1085,1024
1721,950,1947,1012
992,1328,1231,1417
2465,419,2728,508
1772,1184,1995,1261
1972,1619,2219,1715
555,567,821,627
1255,1040,1564,1119
1146,378,1340,485
536,299,801,393
952,1717,1122,1816
1474,702,1665,810
551,1050,752,1135
1581,263,1842,335
871,752,1123,845
2064,1370,2362,1444
844,532,1034,615
2215,690,2517,787
550,1161,847,1252
2227,1625,2465,1712
1154,1614,1441,1711
561,1464,827,1555
569,931,812,1037
1590,1335,1789,1428
758,635,961,726
1755,468,2121,552
2489,1612,2790,1702
1857,268,2084,325
839,1618,1122,1699
1410,1324,1547,1420
1614,350,1765,457
547,428,816,500
827,286,1001,369
2395,1330,2546,1435
1984,924,2113,1028
1267,596,1489,721
2237,1179,2474,1265
1050,511,1243,603
1161,756,1455,830
2023,1167,2206,1263
2014,699,2189,787
717,132,1085,214
1163,1168,1322,1260
2125,924,2264,1014
784,1046,1233,1124
577,765,844,883
