790,232,991,310
349,323,468,368
122,705,235,752
338,578,418,651
177,387,268,430
121,753,242,802
306,753,403,815
125,864,230,922
329,811,422,870
310,372,424,424
205,330,315,375
318,868,421,925
109,648,236,700
838,605,922,660
431,587,529,650
948,587,1148,659
347,483,468,538
1056,10,1196,91
177,438,282,481
180,492,297,539
304,698,413,756
474,369,549,428
493,427,612,480
447,715,514,763
319,424,447,480
521,266,588,312
472,19,541,87
456,829,527,875
141,282,208,328
757,8,900,68
515,483,580,538
118,806,242,864
505,314,634,369
575,583,680,653
563,1,723,72
117,577,304,636
947,17,1032,70
714,609,808,654
448,772,516,818
462,886,539,936
19,600,81,644
426,265,494,312
148,171,276,218
158,39,264,112
895,769,1119,838
304,31,431,92
622,259,770,314
