1530,754,1738,848
1613,1322,1891,1421
2024,685,2211,777
873,908,1182,1007
969,827,1184,905
1814,978,2136,1069
996,154,1242,256
1491,853,1685,943
1496,557,1724,651
870,1629,1105,1730
829,1013,1021,1115
1758,304,1971,390
2233,304,2516,391
2267,616,2548,694
566,206,759,298
2407,2038,2642,2137
1200,833,1466,930
568,413,856,509
849,1255,1046,1363
700,1979,987,2081
1953,799,2157,880
868,1870,1116,1975
504,1743,756,1837
2037,591,2258,681
1145,1067,1377,1172
1827,1432,2015,1522
1901,1313,2216,1415
2390,1207,2582,1304
1637,1802,1846,1887
572,94,824,199
978,616,1269,720
1897,1527,2099,1623
1146,369,1394,466
1619,1215,1868,1308
1643,1890,1862,2001
800,241,986,326
1170,1296,1411,1413
1985,297,2173,383
1789,2023,2053,2121
1193,936,1371,1034
545,1085,746,1193
2084,2032,2394,2139
1850,583,2032,674
2239,702,2451,785
2077,1193,2369,1292
1634,1083,1842,1187
2038,1427,2220,1516
1979,1079,2132,1189
1193,527,1377,630
2051,1691,2230,1800
2154,1809,2292,1916
644,9,826,99
2402,786,2547,880
1594,189,1766,280
1831,680,2008,771
607,846,850,969
1800,197,1968,283
525,994,821,1091
1169,1498,1480,1613
2163,800,2381,871
2159,1087,2481,1184
2265,941,2544,1052
2222,1310,2441,1406
1872,1677,2029,1775
525,1321,771,1447
1120,1645,1345,1762
505,1848,660,1954
1653,671,1817,768
1651,1698,1850,1773
1265,1891,1437,1978
792,1360,1059,1489
2252,1705,2378,1806
2307,90,2468,179
1635,967,1787,1066
1826,395,2194,497
1208,1185,1409,1269
1671,1527,1885,1623
686,1863,844,1960
2393,1928,2627,2027
1292,646,1449,741
1618,480,1775,569
1764,786,1938,864
769,1133,904,1234
