716,1669,1090,1784
1891,491,2174,609
1980,2103,2304,2230
244,1661,652,1782
1578,2120,1914,2244
258,2435,638,2562
863,489,1360,591
1323,701,1800,812
274,1184,672,1326
496,842,788,947
845,1025,1267,1162
1431,1994,1827,2124
1871,385,2337,491
338,513,815,622
695,399,1192,497
1452,499,1808,603
1211,1622,1664,1754
1123,586,1690,699
2263,605,2711,727
2296,2252,2605,2368
770,2406,1074,2536
550,2148,903,2272
684,600,1061,708
1911,2252,2236,2362
1813,1488,2205,1631
1621,1365,2128,1500
557,2319,865,2415
1297,364,1822,486
948,1382,1374,1513
1760,596,2208,703
1862,700,2299,812
2180,1382,2566,1510
994,2153,1530,2279
1209,1504,1723,1632
518,734,861,830
243,1558,760,1661
2233,530,2593,611
1345,2263,1823,2376
280,2180,475,2329
354,1054,743,1177
1879,1969,2386,2109
2430,2003,2788,2110
261,2020,766,2158
347,400,580,515
2327,1510,2761,1611
2231,1013,2672,1158
