1822,3158,2140,3324
1706,2456,2020,2594
2135,1298,2452,1452
1740,1024,2052,1164
1202,1742,1525,1879
1761,1938,2118,2086
354,1141,684,1293
852,1356,1139,1514
1974,2324,2282,2447
939,2208,1195,2388
290,2154,619,2313
2034,3378,2308,3522
279,2513,500,2701
525,2361,816,2548
473,853,762,999
1374,2273,1668,2420
676,2190,908,2349
1559,1784,1894,1929
1751,1502,1981,1632
1161,1205,1483,1388
811,856,1150,1043
1607,2090,1839,2254
1720,2262,1925,2417
1467,1947,1726,2072
1173,2444,1417,2587
312,1448,545,1599
1530,1606,1762,1755
465,3574,845,3733
328,3149,767,3314
744,2026,1077,2171
1132,2055,1544,2215
1906,3559,2292,3704
651,2596,981,2760
302,1957,678,2120
1912,2117,2129,2264
752,1161,1122,1339
2164,3223,2440,3332
517,3384,705,3525
728,3408,1094,3535
1813,1636,2022,1774
782,3176,1188,3334
2146,1968,2450,2101
1941,1789,2420,1951
1177,1929,1416,2049
736,13,1105,205
304,1792,536,1926
2259,1489,2456,1628
1471,2435,1666,2574
