298,191,395,228
46,350,161,388
302,430,406,467
76,1,138,21
248,611,298,636
61,605,117,632
188,606,237,636
114,43,162,69
144,1,202,27
348,147,441,185
53,322,107,349
135,570,185,595
167,364,220,389
56,486,108,511
209,159,263,186
185,485,246,514
273,237,324,264
49,243,115,267
122,402,172,427
325,275,451,304
52,82,103,110
58,113,175,147
60,446,128,470
60,198,120,228
114,526,180,553
185,525,246,557
50,163,119,188
53,525,108,548
50,38,110,66
358,35,446,68
289,399,346,430
56,398,115,431
122,237,172,271
300,595,361,630
55,560,124,590
126,163,199,192
157,269,274,302
206,2,276,29
317,561,380,593
164,37,250,70
138,198,211,226
53,274,162,304
165,437,230,470
114,479,180,511
298,116,362,149
170,233,265,266
331,511,408,548
193,85,226,108
250,406,283,429
